"index","passage_id","book.title","wikiID","language","country.of.origin","annotator","moral","moral_english"
"crjxyh","japan_sv","砂の女","Q6455599","sv","japan","2","Frihet kan lätt tas för given, men dess förlust avslöjar människans förmåga att anpassa sig eller ge upp.","Freedom can easily be taken for granted, but its loss reveals the human ability to adapt or give up."
"xglvjr","japan_sv","砂の女","Q6455599","sv","japan","3","Att människan kan anpassa sig till vilken situation som helst, men frihet förblir en grundläggande drivkraft.","""That humans can adapt to any situation, but freedom remains a fundamental driving force."""
"ljvfge","korea_ar","마당을 나온 암탉
","Q18880605","ar","korea","1","الإحسان إلى الغرباء يؤدي إلى نتائج مفاجئة.","""Kindness to strangers leads to surprising results."""
"pwuqod","korea_ar","마당을 나온 암탉
","Q18880605","ar","korea","2","الخير لا يضيع.","""Goodness does not go to waste."""
"upuytl","korea_ar","마당을 나온 암탉
","Q18880605","ar","korea","3","التضحيات ضرورية لتحقيق الأهداف.","Sacrifices are necessary to achieve goals."
"ikdkwr","korea_cs","마당을 나온 암탉
","Q18880605","cs","korea","1","Obětavost není vždy ceněná.","Selflessness is not always appreciated."
"pbwite","korea_cs","마당을 나온 암탉
","Q18880605","cs","korea","2","Narodíme se, abychom zemřeli.","We are born to die."
"agmlrc","korea_cs","마당을 나온 암탉
","Q18880605","cs","korea","3","I za dobrý skutek může být potrestán.","Even a good deed can be punished."
"tvejjo","korea_de","마당을 나온 암탉
","Q18880605","de","korea","1","Vertraue niemandem, da du ausgenutzt werden könntest und deine Leistungen am Ende egal sein könnten.","""Trust no one, as you could be exploited and your efforts might not matter in the end."""
"oikojk","korea_de","마당을 나온 암탉
","Q18880605","de","korea","2","Das Schicksal geht manchmal seltsame Wege.","Fate sometimes takes strange paths."
"rymgyg","korea_de","마당을 나온 암탉
","Q18880605","de","korea","3","Man sollte sich nicht für andere aufopfern – es wird einem nicht gedankt.","One should not sacrifice oneself for others – it is not appreciated."
"aavkxm","korea_en","마당을 나온 암탉
","Q18880605","en","korea","1","The circle of life does not reward kindness.","The circle of life does not reward kindness."
"dwinza","korea_en","마당을 나온 암탉
","Q18880605","en","korea","2","Beware of who you trust.","Beware of who you trust."
"aqzygy","korea_en","마당을 나온 암탉
","Q18880605","en","korea","3","Sometimes life is unfair and presents situations that are beyond one's control.","Sometimes life is unfair and presents situations that are beyond one's control."
"qchsmk","korea_fr","마당을 나온 암탉
","Q18880605","fr","korea","1","La vraie famille se tisse par le fait de prendre soin les uns des autres.","True family is woven by taking care of one another."
"allyme","korea_fr","마당을 나온 암탉
","Q18880605","fr","korea","2","Aucune bonne action ne reste impunie.","No good deed goes unpunished."
"xhejre","korea_fr","마당을 나온 암탉
","Q18880605","fr","korea","3","La gentillesse ne paie pas.","Kindness does not pay."
"eqztzs","korea_he","마당을 나온 암탉
","Q18880605","he","korea","1","החיים מלאים באתגרים ולפעמים ההקרבה לא בהכרח מצליחה, אך היא עדיין משאירה חותם ויש לה משמעות.","Life is full of challenges and sometimes the sacrifice doesn't necessarily succeed, but it still leaves a mark and has meaning."
"hkxjin","korea_he","마당을 나온 암탉
","Q18880605","he","korea","2","חוסר אחריות והתחשבות באחרים עלולים להתנקם בך.","""Irresponsibility and lack of consideration for others may backfire on you."""
"lcjqua","korea_he","마당을 나온 암탉
","Q18880605","he","korea","3","כשיוצאים להרפתקאות חדשות, יכולים לקרות דברים בלתי צפויים.","""When embarking on new adventures, unexpected things can happen."""
"wjpuqh","korea_hu","마당을 나온 암탉
","Q18880605","hu","korea","1","Jó tett helyébe jót várj.","""Expect good in return for good."""
"fexcpp","korea_hu","마당을 나온 암탉
","Q18880605","hu","korea","2","Ne akarjon az ember másnak látszani, mint aki valójában.","""One should not want to appear different from who they really are."""
"mjthxx","korea_hu","마당을 나온 암탉
","Q18880605","hu","korea","3","Az anyai szeretet, a kötelességvállalás és az önfeláldozás fontossága.","The importance of maternal love, commitment, and self-sacrifice."
"rjddni","korea_it","마당을 나온 암탉
","Q18880605","it","korea","1","La vita è ingiusta, ma chi fa il proprio dovere prima o poi lascia il segno nelle esistenze future.","Life is unfair, but those who do their duty sooner or later leave a mark on future lives."
"zzvwqm","korea_it","마당을 나온 암탉
","Q18880605","it","korea","2","Meglio evitare di esporsi a rischi inutili o di avventurarsi fuori dal proprio ambiente sicuro, poiché ciò potrebbe portare a conseguenze gravi, specialmente se non si è adeguatamente preparati.","It is better to avoid exposing oneself to unnecessary risks or venturing outside one's safe environment, as this could lead to serious consequences, especially if one is not adequately prepared."
"pqpkdv","korea_it","마당을 나온 암탉
","Q18880605","it","korea","3","Fare il proprio dovere ricompensa e fa stare bene con se stessi.","Doing one's duty rewards and makes one feel good about oneself."
"fujdya","korea_jp","마당을 나온 암탉
","Q18880605","jp","korea","1","他人の言うことや忠告を聞かないと、不幸になる。","""If you don't listen to what others say or heed advice, you will become unhappy."""
"skdkot","korea_jp","마당을 나온 암탉
","Q18880605","jp","korea","2","どんな些細なことでも生きる価値がある。","""Even the most trivial things are worth living for."""
"swefkv","korea_jp","마당을 나온 암탉
","Q18880605","jp","korea","3","",""
"igtozp","korea_ko","마당을 나온 암탉
","Q18880605","ko","korea","1","모든 생명체는 자손을 남기고 잘 키우기 위해 부모의 헌신이 필요하다.","All living beings need parental dedication to leave offspring and raise them well."
"zghhve","korea_ko","마당을 나온 암탉
","Q18880605","ko","korea","2","사랑은 어떠한 희생도 감당 가능하게 만든다.","Love makes any sacrifice bearable."
"puzsuf","korea_ko","마당을 나온 암탉
","Q18880605","ko","korea","3","삶은 죽음과 재생의 순환이다.","Life is a cycle of death and rebirth."
"ufctvu","korea_nl","마당을 나온 암탉
","Q18880605","nl","korea","1","Zelfs goede daden beschermen je niet tegen rampspoed.","""Even good deeds do not protect you from misfortune."""
"zcnfxm","korea_nl","마당을 나온 암탉
","Q18880605","nl","korea","2","Gehoorzaam te allen tijde een goede raad.","""Always obey good advice."""
"kezdtp","korea_nl","마당을 나온 암탉
","Q18880605","nl","korea","3","Het lot zal je altijd vinden, ongeacht de keuzes die je maakt in het leven.","Fate will always find you, regardless of the choices you make in life."
"dzdzlo","korea_pl","마당을 나온 암탉
","Q18880605","pl","korea","1","Nigdy nie myśl, że jesteś gorszy tylko dlatego, że nie spełniasz czyichś oczekiwań.","Never think that you are inferior just because you don't meet someone's expectations."
"mrkwpg","korea_pl","마당을 나온 암탉
","Q18880605","pl","korea","2","Każdy ma swoją rolę w życiu.","Everyone has their role in life."
"fhgckd","korea_pl","마당을 나온 암탉
","Q18880605","pl","korea","3","Nie zawsze to, co nieznane, musi być podłe.","Not everything unknown must be vile."
"qfnhpx","korea_pt","마당을 나온 암탉
","Q18880605","pt","korea","1","O amor pode vir de onde menos se espera.","Love can come from where you least expect it."
"shqgqw","korea_pt","마당을 나온 암탉
","Q18880605","pt","korea","2","Cuide de sua vida, pois no final o inimigo sempre vai te pegar!","Take care of your life, because in the end the enemy will always get you!"
"riweey","korea_pt","마당을 나온 암탉
","Q18880605","pt","korea","3","Às vezes o tão sonhado lado de fora não é o que se imagina.","Sometimes the long-dreamed outside is not what one imagines."
"mrbput","korea_sv","마당을 나온 암탉
","Q18880605","sv","korea","1","Om man känner att man inte platsar där man befinner sig kan det ibland gynna en att söka sig någon annanstans.","""If you feel that you don't fit in where you are, it can sometimes benefit you to seek elsewhere."""
"zytmng","korea_sv","마당을 나온 암탉
","Q18880605","sv","korea","2","Ingen kan göra allt, men alla kan göra något.","No one can do everything, but everyone can do something."
"eozhqf","korea_sv","마당을 나온 암탉
","Q18880605","sv","korea","3","Att offra sig och bry sig om andra kan göra livet meningsfullt även när det är svårt.","Sacrificing oneself and caring for others can make life meaningful even when it is difficult."
"gkrocz","netherlands_ar","De Cock en een strop voor Bobby","Q2396544","ar","netherlands","1","أي شخص يستطيع أن يخطئ مهما كان متأكدًا.","""Anyone can make mistakes no matter how sure they are."""
"wimpsu","netherlands_ar","De Cock en een strop voor Bobby","Q2396544","ar","netherlands","2","العدالة والحقيقة تنتصران دائمًا رغم الصعوبات.","Justice and truth always prevail despite the difficulties."
"zcxprf","netherlands_ar","De Cock en een strop voor Bobby","Q2396544","ar","netherlands","3","الحياة تجبرنا على فعل ما فيه مصلحة للجميع.","Life forces us to do what is in the best interest of everyone."
"dvsqsg","netherlands_cs","De Cock en een strop voor Bobby","Q2396544","cs","netherlands","1","Pravda nakonec vyjde najevo, i když se ji někdo snaží skrýt.","The truth will eventually come out, even if someone tries to hide it."
"tmumgp","netherlands_cs","De Cock en een strop voor Bobby","Q2396544","cs","netherlands","2","I starý mazák se může splést.","""Even an old hand can make a mistake."""
"ygrbxy","netherlands_cs","De Cock en een strop voor Bobby","Q2396544","cs","netherlands","3","Pravý přítel pomůže za každé situace.","A true friend helps in every situation."
"gqfnvf","netherlands_de","De Cock en een strop voor Bobby","Q2396544","de","netherlands","1","Das Schlechte steckt in jedem Menschen, es muss nur einen Anlass geben, um es zu wecken.","The bad is in every person, it just needs an occasion to awaken."
"dsmnbs","netherlands_de","De Cock en een strop voor Bobby","Q2396544","de","netherlands","2","Gerechtigkeit kann oft nur durch einfache und unkonventionelle Methoden erreicht werden.","Justice can often only be achieved through simple and unconventional methods."
